Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type,Location of Breached Information,Business Associate Present,Breach Submission Time,Breach Submission Datetime,Year,,
Crystal Lake Clinic PC,MI,Healthcare Provider,37331,4/9/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/9/2021 0:00,2021,,
"Harbor Health Services, Inc.",MA,Healthcare Provider,901,4/9/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,4/9/2021 0:00,2021,,
"Maestro Health, LLC",IL,Business Associate,2016,4/6/2021,Hacking/IT Incident,Email,Yes,12:00:00 AM,4/6/2021 0:00,2021,,
Atlanta Allergy & Asthma,GA,Healthcare Provider,9851,4/5/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,4/5/2021 0:00,2021,,
Trinity Health,MI,Business Associate,586869,4/5/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,4/5/2021 0:00,2021,,
Total Health Care Inc.,MI,Health Plan,221454,4/5/2021,Hacking/IT Incident,Email,No,12:00:00 AM,4/5/2021 0:00,2021,,
University Medical Center Southern Nevada,NV,Healthcare Provider,1833,3/31/2021,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,3/31/2021 0:00,2021,,
Midland Care Connection Inc,KS,Healthcare Provider,1364,3/29/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,3/29/2021 0:00,2021,,
Apple Valley Clinic,MN,Healthcare Provider,157939,3/26/2021,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,3/26/2021 0:00,2021,,
Mott Community College,MI,Health Plan,1612,3/24/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/24/2021 0:00,2021,,
Illinois Department of Healthcare and Family Services,IL,Health Plan,8848,3/22/2021,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,3/22/2021 0:00,2021,,
"Gastroenterology Consultants, PA",TX,Healthcare Provider,161698,3/19/2021,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/19/2021 0:00,2021,,
Cancer Treatment Centers of America at Midwestern Regional Medical Center,IL,Healthcare Provider,104808,3/19/2021,Hacking/IT Incident,Email,No,12:00:00 AM,3/19/2021 0:00,2021,,
Serenity Care PACE,MA,Healthcare Provider,658,3/16/2021,Unauthorized Access/Disclosure,"Network Server, Other",Yes,12:00:00 AM,3/16/2021 0:00,2021,,
The Home for the Little Wanderers,MA,Healthcare Provider,5396,2/26/2021,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,2/26/2021 0:00,2021,,
,AK,,,,,,,,,2021,,
